,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[ 0.92086331 19.68345324 36.02877698  7.36690647],69014,16,"[2, 24, 22]",5.083333333333333
1,[ 9.55395683 11.85611511  6.44604317 36.14388489],120275,41,"[2, 7, 14]",5.416666666666667
2,[29.23741007 21.98561151 10.01438849  2.76258993],92176,6,"[26, 29, 3]",5.5
3,[19.22302158 27.85611511  4.60431655 12.31654676],130649,8,"[23, 23, 10]",5.25
4,[29.23741007 11.39568345 11.51079137 11.85611511],90178,7,"[26, 6, 25]",5.416666666666667
5,[26.47482014 17.38129496  8.28776978 11.85611511],72411,7,"[20, 19, 18]",4.583333333333333
6,[13.69784173 29.23741007  5.98561151 15.07913669],110619,14,"[11, 26, 13]",4.916666666666667
7,[ 1.38129496  2.76258993 22.90647482 36.94964029],125135,24,"[3, 6, 31]",5.25
8,[ 4.14388489 15.07913669 13.23741007 31.53956835],116834,31,"[9, 14, 10]",5.75
9,[12.31654676  2.30215827 45.23741007  4.14388489],106830,9,"[8, 5, 42]",5.25
10,[27.85611511  3.22302158 23.71223022  9.20863309],110183,20,"[23, 7, 14]",4.833333333333333
11,[41.09352518  1.84172662  6.44604317 14.61870504],89642,13,"[33, 4, 14]",5.0
12,[18.30215827  5.52517986 38.33093525  1.84172662],113802,4,"[21, 12, 27]",5.0
13,[18.30215827 32.         12.31654676  1.38129496],114840,3,"[21, 32, 8]",5.083333333333333
14,[ 8.74820144  2.30215827 10.01438849 42.9352518 ],108746,37,"[19, 5, 3]",5.916666666666667
15,[13.23741007 18.30215827 21.52517986 10.9352518 ],110242,5,"[10, 21, 28]",5.0
16,[ 4.14388489 15.53956835 33.38129496 10.9352518 ],107050,5,"[9, 15, 35]",5.25
17,[11.85611511 23.71223022 17.84172662 10.58992806],118091,23,"[7, 14, 20]",5.083333333333333
18,[29.69784173 27.85611511  3.68345324  2.76258993],104963,6,"[27, 23, 8]",4.833333333333333
19,[27.85611511 28.77697842  2.76258993  4.60431655],76747,10,"[23, 25, 6]",5.25
20,[27.39568345 22.44604317 11.39568345  2.76258993],107812,6,"[22, 30, 6]",5.333333333333333
21,[26.9352518   4.14388489 19.68345324 13.23741007],115356,10,"[21, 9, 24]",4.833333333333333
22,[23.25179856 28.31654676  5.98561151  6.44604317],87885,14,"[13, 24, 13]",5.166666666666667
23,[ 5.52517986  8.74820144 11.39568345 38.33093525],79396,27,"[12, 19, 6]",4.833333333333333
24,[30.61870504  2.30215827  2.30215827 28.77697842],126357,25,"[29, 5, 5]",5.333333333333333
25,[ 7.82733813 11.85611511 25.09352518 19.22302158],116542,23,"[17, 7, 17]",5.083333333333333
26,[30.15827338 18.30215827  4.14388489 11.39568345],96141,6,"[28, 21, 9]",5.083333333333333
27,[18.30215827 31.07913669  9.55395683  5.0647482 ],105646,11,"[21, 30, 2]",5.166666666666667
28,[18.30215827 30.15827338  3.68345324 11.85611511],100476,7,"[21, 28, 8]",5.416666666666667
29,[ 5.52517986  0.92086331 39.71223022 17.84172662],90778,20,"[12, 2, 30]",4.916666666666667
