,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[16.46043165 21.0647482   1.84172662 24.63309353],96022,16,"[17, 27, 4]",6.083333333333333
1,[16.92086331 20.14388489  2.30215827 24.63309353],100073,16,"[18, 25, 5]",6.083333333333333
2,[25.09352518 32.46043165  0.92086331  5.52517986],95890,12,"[17, 33, 2]",6.0
3,[25.55395683  7.82733813 28.31654676  2.30215827],71022,5,"[18, 17, 24]",5.666666666666667
4,[30.15827338 15.53956835 12.77697842  5.52517986],116201,12,"[28, 15, 9]",6.083333333333333
5,[23.82733813 17.38129496 11.39568345 11.39568345],77685,6,"[33, 19, 6]",5.583333333333333
6,[29.23741007 20.60431655 13.23741007  0.92086331],81308,2,"[26, 26, 10]",6.083333333333333
7,[26.47482014 18.30215827  8.28776978 10.9352518 ],86251,5,"[20, 21, 18]",5.583333333333333
8,[14.15827338  9.20863309 34.64748201  5.98561151],75357,13,"[12, 20, 19]",5.833333333333333
9,[ 0.92086331 32.46043165 18.30215827 12.31654676],87559,8,"[2, 33, 21]",5.5
10,[20.14388489 15.07913669  0.92086331 27.85611511],93928,23,"[25, 14, 2]",5.833333333333333
11,[26.9352518   5.98561151 28.31654676  2.76258993],109842,6,"[21, 13, 24]",6.0
12,[ 5.52517986  6.44604317 41.55395683 10.47482014],89661,4,"[12, 14, 34]",5.583333333333333
13,[ 5.52517986 11.85611511 33.38129496 13.23741007],64960,10,"[12, 7, 35]",5.166666666666667
14,[17.84172662  5.98561151 28.31654676 11.85611511],111048,7,"[20, 13, 24]",5.916666666666667
15,[15.53956835 31.07913669  5.52517986 11.85611511],82015,7,"[15, 30, 12]",6.0
16,[23.71223022  2.76258993 34.30215827  3.22302158],82608,7,"[14, 6, 37]",5.833333333333333
17,[18.30215827  0.         42.01438849  3.68345324],95962,8,"[21, 0, 35]",5.583333333333333
18,[16.92086331  6.90647482 16.92086331 23.25179856],118131,13,"[18, 15, 18]",5.833333333333333
19,[ 4.60431655 44.31654676  5.0647482  10.01438849],89674,3,"[10, 40, 11]",6.0
20,[30.50359712 21.98561151  1.38129496 10.1294964 ],88543,22,"[10, 29, 3]",5.916666666666667
21,[28.31654676  3.22302158  1.84172662 30.61870504],93218,29,"[24, 7, 4]",6.333333333333333
22,[31.07913669 12.31654676  3.22302158 17.38129496],79924,19,"[30, 8, 7]",5.25
23,[25.55395683  5.0647482   7.36690647 26.01438849],89434,19,"[18, 11, 16]",5.333333333333333
24,[18.30215827 16.92086331  7.82733813 20.94964029],104318,8,"[21, 18, 17]",5.833333333333333
25,[13.23741007 29.69784173  2.30215827 18.76258993],86108,22,"[10, 27, 5]",5.5
26,[10.1294964  16.46043165 32.8057554   4.60431655],98299,10,"[22, 17, 15]",5.583333333333333
27,[31.53956835  6.44604317 11.85611511 14.15827338],98762,12,"[31, 14, 7]",6.0
28,[33.38129496 13.69784173  5.98561151 10.9352518 ],96889,5,"[35, 11, 13]",5.833333333333333
29,[28.77697842  0.92086331 21.52517986 12.77697842],91123,9,"[25, 2, 28]",5.583333333333333
