,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[ 2.76258993 30.15827338 28.31654676  2.76258993],65107,6,"[6, 28, 24]",4.916666666666667
1,[ 0.         23.71223022  5.52517986 34.76258993],99646,38,"[0, 14, 12]",5.083333333333333
2,[28.31654676 32.46043165  1.38129496  1.84172662],103143,4,"[24, 33, 3]",5.333333333333333
3,[25.09352518 15.07913669 11.97122302 11.85611511],81857,7,"[17, 14, 26]",4.75
4,[14.15827338 15.07913669 10.58992806 24.17266187],98553,15,"[12, 14, 23]",5.166666666666667
5,[ 3.68345324 10.9352518  17.38129496 32.        ],84978,32,"[8, 5, 19]",4.5
6,[18.30215827 38.79136691  4.14388489  2.76258993],113627,6,"[21, 28, 9]",4.666666666666667
7,[24.17266187  2.76258993 33.38129496  3.68345324],100462,8,"[15, 6, 35]",4.75
8,[ 4.14388489 15.07913669 13.23741007 31.53956835],119642,31,"[9, 14, 10]",5.583333333333333
9,[15.07913669 16.         31.53956835  1.38129496],89162,3,"[14, 16, 31]",5.0
10,[18.30215827 14.61870504 29.23741007  1.84172662],93108,4,"[21, 13, 26]",4.416666666666667
11,[29.23741007  0.92086331 17.84172662 16.        ],125613,16,"[26, 2, 20]",4.916666666666667
12,[ 5.98561151 35.56834532 16.92086331  5.52517986],123542,12,"[13, 21, 18]",5.0
13,[16.92086331 21.52517986 13.69784173 11.85611511],95265,7,"[18, 28, 11]",4.916666666666667
14,[ 8.28776978  2.30215827 12.77697842 40.63309353],101352,32,"[18, 5, 9]",5.583333333333333
15,[21.8705036  15.53956835  5.0647482  21.52517986],116059,28,"[10, 15, 11]",4.666666666666667
16,[ 5.52517986  4.60431655 27.39568345 26.47482014],106082,20,"[12, 10, 22]",4.916666666666667
17,[16.92086331  2.30215827 24.63309353 20.14388489],108642,25,"[18, 5, 16]",4.666666666666667
18,[20.60431655  4.14388489 20.02877698 19.22302158],109443,23,"[26, 9, 6]",4.833333333333333
19,[ 2.76258993 47.07913669  9.09352518  5.0647482 ],93832,11,"[6, 46, 1]",5.166666666666667
20,[25.09352518 22.44604317 13.69784173  2.76258993],119348,6,"[17, 30, 11]",5.25
21,[14.61870504 14.61870504 21.98561151 12.77697842],120794,9,"[13, 13, 29]",4.666666666666667
22,[17.38129496  3.68345324 28.31654676 14.61870504],99674,13,"[19, 8, 24]",4.916666666666667
23,[14.15827338  8.28776978 22.79136691 18.76258993],96375,22,"[12, 18, 12]",4.583333333333333
24,[28.31654676  3.68345324 16.         16.        ],90442,16,"[24, 8, 16]",4.666666666666667
25,[17.38129496  2.76258993 27.85611511 16.        ],92549,16,"[19, 6, 23]",5.083333333333333
26,[17.38129496 26.9352518  12.31654676  7.36690647],86279,16,"[19, 21, 8]",4.916666666666667
27,[30.61870504 20.14388489 10.9352518   2.30215827],85589,5,"[29, 25, 5]",4.916666666666667
28,[20.14388489 16.92086331 11.85611511 15.07913669],107380,14,"[25, 18, 7]",4.833333333333333
29,[31.07913669  4.14388489 14.61870504 14.15827338],86842,12,"[30, 9, 13]",4.916666666666667
