,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[18.76258993 27.85611511 15.53956835  1.84172662],56457,4,"[22, 23, 15]",5.583333333
1,[ 9.66906475 26.47482014 10.01438849 17.84172662],105306,20,"[21, 20, 3]",6.75
2,[25.09352518 32.46043165  0.92086331  5.52517986],107350,12,"[17, 33, 2]",6.333333333
3,[14.15827338 15.53956835 32.          2.30215827],113047,5,"[12, 15, 32]",5.916666667
4,[ 5.0647482  21.8705036  21.52517986 15.53956835],85575,15,"[11, 10, 28]",6.416666667
5,[23.82733813 17.38129496 11.39568345 11.39568345],91939,6,"[33, 19, 6]",5.75
6,[29.23741007 20.60431655 13.23741007  0.92086331],93487,2,"[26, 26, 10]",6.25
7,[32.92086331 15.07913669 14.15827338  1.84172662],100922,4,"[34, 14, 12]",6.25
8,[14.15827338  9.20863309 34.64748201  5.98561151],97026,13,"[12, 20, 19]",6.083333333
9,[ 0.92086331 32.46043165 18.30215827 12.31654676],89096,8,"[2, 33, 21]",5.666666667
10,[20.60431655  3.22302158  1.38129496 38.79136691],95551,28,"[26, 7, 3]",6.25
11,[26.9352518   4.60431655 31.07913669  1.38129496],103783,3,"[21, 10, 30]",6.083333333
12,[14.15827338 26.9352518  18.76258993  4.14388489],105552,9,"[12, 21, 22]",5.583333333
13,[19.68345324 14.61870504 16.         13.69784173],79825,11,"[24, 13, 16]",5.583333333
14,[ 4.14388489 26.47482014  5.98561151 27.39568345],81905,22,"[9, 20, 13]",5.833333333
15,[16.         31.53956835  5.98561151 10.47482014],93088,4,"[16, 31, 13]",6.083333333
16,[23.71223022  2.76258993 34.30215827  3.22302158],95481,7,"[14, 6, 37]",6
17,[28.77697842 13.23741007 19.22302158  2.76258993],92018,6,"[25, 10, 23]",5.583333333
18,[25.55395683 22.90647482 11.85611511  3.68345324],98710,8,"[18, 31, 7]",5.916666667
19,[ 4.60431655 44.31654676  5.0647482  10.01438849],102735,3,"[10, 40, 11]",6.166666667
20,[28.31654676 28.31654676  3.68345324  3.68345324],82996,8,"[24, 24, 8]",6.083333333
21,[15.07913669  6.90647482 12.31654676 29.69784173],105881,27,"[14, 15, 8]",6.666666667
22,[17.84172662 18.30215827 16.46043165 11.39568345],76400,6,"[20, 21, 17]",5.666666667
23,[ 4.60431655  4.14388489 38.33093525 16.92086331],95871,18,"[10, 9, 27]",5.5
24,[10.9352518  19.68345324 29.69784173  3.68345324],98575,8,"[5, 24, 27]",5.666666667
25,[12.77697842 26.47482014  6.44604317 18.30215827],79835,21,"[9, 20, 14]",5.583333333
26,[17.38129496 17.84172662 26.01438849  2.76258993],93273,6,"[19, 20, 19]",5.666666667
27,[31.53956835  6.44604317 11.85611511 14.15827338],85329,12,"[31, 14, 7]",6
28,[26.47482014 15.53956835 16.92086331  5.0647482 ],76005,11,"[20, 15, 18]",6
29,[ 0.92086331 26.01438849 33.38129496  3.68345324],82942,8,"[2, 19, 35]",5.666666667
