,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[18.76258993 27.85611511 15.53956835  1.84172662],98069,4,"[22, 23, 15]",6.083333333
1,[12.31654676 18.76258993  3.68345324 29.23741007],120276,26,"[8, 22, 8]",6.416666667
2,[ 6.44604317 15.07913669 25.55395683 16.92086331],97819,18,"[14, 14, 18]",6.083333333
3,[15.07913669 32.92086331  5.0647482  10.9352518 ],102062,5,"[14, 34, 11]",6.083333333
4,[ 5.0647482  21.8705036  21.52517986 15.53956835],79315,15,"[11, 10, 28]",6.416666667
5,[24.17266187 29.23741007  6.90647482  3.68345324],88442,8,"[15, 26, 15]",5.833333333
6,[20.94964029 21.52517986 16.          5.52517986],95614,12,"[8, 28, 16]",6.25
7,[32.92086331 15.07913669 14.15827338  1.84172662],106948,4,"[34, 14, 12]",6.333333333
8,[14.15827338  9.20863309 34.64748201  5.98561151],106079,13,"[12, 20, 19]",6.25
9,[ 0.92086331 32.46043165 18.30215827 12.31654676],85310,8,"[2, 33, 21]",5.666666667
10,[20.14388489 15.07913669  0.92086331 27.85611511],103027,23,"[25, 14, 2]",6.333333333
11,[26.9352518   4.60431655 31.07913669  1.38129496],100933,3,"[21, 10, 30]",6.083333333
12,[14.15827338 26.9352518  18.76258993  4.14388489],104372,9,"[12, 21, 22]",5.75
13,[22.44604317 15.53956835 22.33093525  3.68345324],82598,8,"[30, 15, 11]",5.666666667
14,[36.48920863  9.66906475  4.60431655 13.23741007],99449,10,"[23, 21, 10]",5.916666667
15,[16.         31.53956835  5.98561151 10.47482014],106787,4,"[16, 31, 13]",6.166666667
16,[ 1.84172662 27.85611511 17.38129496 16.92086331],87436,18,"[4, 23, 19]",6
17,[15.07913669 12.31654676 28.31654676  8.28776978],86449,18,"[14, 8, 24]",5.666666667
18,[25.55395683 22.90647482 11.85611511  3.68345324],95015,8,"[18, 31, 7]",5.916666667
19,[ 4.60431655 44.31654676  5.0647482  10.01438849],97748,3,"[10, 40, 11]",6.166666667
20,[15.07913669 22.90647482 25.09352518  0.92086331],112570,2,"[14, 31, 17]",5.833333333
21,[26.01438849 13.69784173 22.44604317  1.84172662],70335,4,"[19, 11, 30]",5.416666667
22,[17.84172662 18.30215827 16.46043165 11.39568345],96593,6,"[20, 21, 17]",5.916666667
23,[40.63309353 18.76258993  2.30215827  2.30215827],114670,5,"[32, 22, 5]",6
24,[10.9352518  19.68345324 29.69784173  3.68345324],96907,8,"[5, 24, 27]",5.75
25,[13.23741007 29.69784173  2.30215827 18.76258993],69160,22,"[10, 27, 5]",5.583333333
26,[13.69784173 10.01438849 32.46043165  7.82733813],90219,17,"[11, 3, 33]",5.833333333
27,[31.53956835  6.44604317 11.85611511 14.15827338],86638,12,"[31, 14, 7]",6.083333333
28,[26.47482014 15.53956835 16.92086331  5.0647482 ],88842,11,"[20, 15, 18]",6.166666667
29,[ 0.92086331 26.01438849 33.38129496  3.68345324],75438,8,"[2, 19, 35]",5.666666667
