,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[ 0.46043165 29.69784173 16.         17.84172662],70579,20,"[1, 27, 16]",4.833333333333333
1,[21.41007194  1.84172662  5.0647482  35.68345324],104887,40,"[9, 4, 11]",5.0
2,[15.53956835 29.23741007  5.52517986 13.69784173],94246,11,"[15, 26, 12]",5.0
3,[31.07913669 15.07913669 13.23741007  4.60431655],83848,10,"[30, 14, 10]",4.666666666666667
4,[28.77697842 17.84172662 16.46043165  0.92086331],120021,2,"[25, 20, 17]",5.333333333333333
5,[ 5.52517986 22.33093525  7.36690647 28.77697842],106494,25,"[12, 11, 16]",4.583333333333333
6,[18.76258993 38.79136691  5.0647482   1.38129496],97272,3,"[22, 28, 11]",4.416666666666667
7,[24.17266187  2.76258993 33.38129496  3.68345324],90939,8,"[15, 6, 35]",4.583333333333333
8,[ 4.60431655 14.15827338 12.77697842 32.46043165],90766,33,"[10, 12, 9]",5.25
9,[15.07913669 16.         31.53956835  1.38129496],89537,3,"[14, 16, 31]",4.833333333333333
10,[25.09352518  8.28776978 17.84172662 12.77697842],114271,9,"[17, 18, 20]",4.5
11,[30.61870504  1.38129496  9.66906475 22.33093525],136044,11,"[29, 3, 21]",4.666666666666667
12,[28.31654676 16.92086331  4.60431655 14.15827338],123886,12,"[24, 18, 10]",5.0
13,[26.9352518  16.          7.36690647 13.69784173],89410,11,"[21, 16, 16]",4.5
14,[17.84172662 10.01438849  3.68345324 32.46043165],105143,33,"[20, 3, 8]",5.333333333333333
15,[25.09352518 17.84172662  5.0647482  16.        ],130148,16,"[17, 20, 11]",4.583333333333333
16,[ 3.22302158  1.84172662 38.79136691 20.14388489],102457,25,"[7, 4, 28]",4.916666666666667
17,[19.68345324 12.31654676 25.09352518  6.90647482],101442,15,"[24, 8, 17]",4.416666666666667
18,[16.         27.39568345  7.82733813 12.77697842],79557,9,"[16, 22, 17]",4.416666666666667
19,[ 4.60431655 14.61870504 37.8705036   6.90647482],99518,15,"[10, 13, 26]",4.75
20,[29.23741007  1.38129496 31.07913669  2.30215827],108584,5,"[26, 3, 30]",4.916666666666667
21,[33.84172662  4.14388489 13.69784173 12.31654676],107579,8,"[36, 9, 11]",5.083333333333333
22,[30.61870504 14.15827338  7.36690647 11.85611511],103484,7,"[29, 12, 16]",4.75
23,[14.15827338  8.28776978 22.79136691 18.76258993],114077,22,"[12, 18, 12]",4.583333333333333
24,[32.          2.30215827  3.68345324 26.01438849],91694,19,"[32, 5, 8]",4.666666666666667
25,[17.38129496  3.22302158 19.68345324 23.71223022],112199,14,"[19, 7, 24]",5.083333333333333
26,[28.31654676 16.46043165  4.14388489 15.07913669],79346,14,"[24, 17, 9]",4.75
27,[22.44604317 19.68345324 11.85611511 10.01438849],78209,3,"[30, 24, 7]",4.583333333333333
28,[29.69784173 20.60431655 11.39568345  2.30215827],95515,5,"[27, 26, 6]",4.833333333333333
29,[16.92086331  0.         17.84172662 29.23741007],102961,26,"[18, 0, 20]",5.083333333333333
