,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[ 1.38129496 17.38129496 27.85611511 17.38129496],81252,19,"[3, 19, 23]",5.166666667
1,[ 0.92086331 13.69784173  9.20863309 40.17266187],87151,31,"[2, 11, 20]",5.333333333
2,[22.44604317 30.15827338 10.47482014  0.92086331],93397,2,"[30, 28, 4]",5.666666667
3,[18.30215827 26.47482014  3.68345324 15.53956835],115146,15,"[21, 20, 8]",5.083333333
4,[20.60431655 34.18705036  3.68345324  5.52517986],111746,12,"[26, 18, 8]",5.333333333
5,[20.14388489 16.92086331  2.30215827 24.63309353],106713,16,"[25, 18, 5]",5.333333333
6,[27.85611511 14.15827338 17.84172662  4.14388489],112056,9,"[23, 12, 20]",5.333333333
7,[ 1.38129496  2.76258993 22.90647482 36.94964029],127282,24,"[3, 6, 31]",5.333333333
8,[ 3.22302158 25.09352518  1.84172662 33.84172662],106775,36,"[7, 17, 4]",5.083333333
9,[ 3.68345324 12.31654676 31.53956835 16.46043165],101781,17,"[8, 8, 31]",5.166666667
10,[18.76258993  5.0647482  18.76258993 21.41007194],77241,9,"[22, 11, 22]",4.916666667
11,[36.94964029  5.0647482   7.36690647 14.61870504],99274,13,"[24, 11, 16]",5.083333333
12,[15.53956835  8.74820144 36.48920863  3.22302158],95269,7,"[15, 19, 23]",5.166666667
13,[18.76258993 31.07913669 13.69784173  0.46043165],120134,1,"[22, 30, 11]",5.166666667
14,[ 9.66906475  1.38129496 10.47482014 42.47482014],100915,36,"[21, 3, 4]",5.916666667
15,[ 4.14388489 42.01438849  4.14388489 13.69784173],89745,11,"[9, 35, 9]",5.083333333
16,[20.02877698  4.60431655 36.14388489  3.22302158],102142,7,"[6, 10, 41]",5.5
17,[17.38129496  6.44604317 36.02877698  4.14388489],113085,9,"[19, 14, 22]",4.916666667
18,[27.39568345 28.77697842  4.60431655  3.22302158],115905,7,"[22, 25, 10]",4.916666667
19,[26.01438849 21.0647482  13.69784173  3.22302158],68764,7,"[19, 27, 11]",5.25
20,[14.15827338 17.38129496 10.9352518  21.52517986],104885,28,"[12, 19, 5]",5.25
21,[16.92086331  5.52517986 17.38129496 24.17266187],85064,15,"[18, 12, 19]",5.166666667
22,[20.14388489  2.30215827 26.47482014 15.07913669],99137,14,"[25, 5, 20]",5.166666667
23,[ 7.36690647  5.0647482  23.71223022 27.85611511],82926,23,"[16, 11, 14]",4.833333333
24,[42.01438849  3.68345324  3.68345324 14.61870504],110393,13,"[35, 8, 8]",5.166666667
25,[ 7.82733813 11.85611511 25.09352518 19.22302158],109951,23,"[17, 7, 17]",5.166666667
26,[26.01438849 19.22302158  4.60431655 14.15827338],106572,12,"[19, 23, 10]",5.166666667
27,[27.39568345  6.90647482 12.77697842 16.92086331],86483,18,"[22, 15, 9]",4.916666667
28,[22.44604317 12.31654676 25.55395683  3.68345324],85690,8,"[30, 8, 18]",5.333333333
29,[15.07913669  0.92086331 28.31654676 19.68345324],92127,24,"[14, 2, 24]",5.25
