,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[11.39568345 18.30215827 18.76258993 15.53956835],82954,15,"[6, 21, 22]",5
1,[ 0.         23.71223022  5.52517986 34.76258993],92821,38,"[0, 14, 12]",5.166666667
2,[31.07913669 20.14388489 10.9352518   1.84172662],113151,4,"[30, 25, 5]",5.5
3,[19.22302158 27.85611511  4.60431655 12.31654676],87483,8,"[23, 23, 10]",4.916666667
4,[19.68345324 14.61870504 16.         13.69784173],104423,11,"[24, 13, 16]",5.166666667
5,[16.46043165 18.76258993  1.84172662 26.9352518 ],77490,21,"[17, 22, 4]",4.833333333
6,[27.85611511 14.15827338 17.84172662  4.14388489],132292,9,"[23, 12, 20]",5.25
7,[ 1.38129496  2.76258993 22.90647482 36.94964029],113058,24,"[3, 6, 31]",5.083333333
8,[ 3.68345324 24.63309353 10.47482014 25.20863309],131005,36,"[8, 16, 4]",5.75
9,[16.46043165  3.68345324 35.10791367  8.74820144],121660,19,"[17, 8, 20]",4.916666667
10,[27.85611511  3.22302158 23.71223022  9.20863309],85537,20,"[23, 7, 14]",4.583333333
11,[42.01438849  1.38129496  6.90647482 13.69784173],82950,11,"[35, 3, 15]",4.833333333
12,[16.46043165 26.01438849 19.68345324  1.84172662],112903,4,"[17, 19, 24]",5.083333333
13,[19.68345324 19.22302158  3.22302158 21.8705036 ],117578,10,"[24, 23, 7]",5.166666667
14,[ 5.52517986  4.60431655  1.84172662 52.02877698],112135,38,"[12, 10, 4]",5.75
15,[12.31654676 28.31654676 11.05035971 12.31654676],111807,8,"[8, 24, 24]",5.25
16,[12.31654676  2.76258993 37.52517986 11.39568345],114462,6,"[8, 6, 44]",5.25
17,[12.77697842  9.66906475 38.79136691  2.76258993],130740,6,"[9, 21, 28]",4.666666667
18,[20.60431655  4.14388489 20.02877698 19.22302158],95537,23,"[26, 9, 6]",4.916666667
19,[ 3.22302158 47.07913669 11.85611511  1.84172662],95284,4,"[7, 46, 7]",5.25
20,[27.39568345 22.44604317 11.39568345  2.76258993],101280,6,"[22, 30, 6]",5.25
21,[22.33093525  4.14388489 13.23741007 24.28776978],122838,34,"[11, 9, 10]",4.75
22,[17.38129496  3.68345324 26.9352518  16.        ],93915,16,"[19, 8, 21]",5
23,[15.53956835 10.47482014 16.46043165 21.52517986],91033,28,"[15, 4, 17]",4.5
24,[21.0647482  13.23741007 12.77697842 16.92086331],113700,18,"[27, 10, 9]",4.75
25,[ 7.82733813 11.85611511 25.09352518 19.22302158],107617,23,"[17, 7, 17]",4.916666667
26,[30.15827338 18.30215827  4.14388489 11.39568345],74052,6,"[28, 21, 9]",4.833333333
27,[25.55395683  3.22302158  4.14388489 31.07913669],106405,30,"[18, 7, 9]",5
28,[30.61870504 22.33093525  4.14388489  6.90647482],86816,15,"[29, 11, 9]",5
29,[31.07913669  4.14388489 14.61870504 14.15827338],90442,12,"[30, 9, 13]",5
