,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[22.79136691 31.07913669  7.36690647  2.76258993],113867,6,"[12, 30, 16]",5.583333333333333
1,[ 9.55395683 26.47482014  6.44604317 21.52517986],88961,28,"[2, 20, 14]",5.666666666666667
2,[25.55395683 22.44604317  0.92086331 15.07913669],60957,14,"[18, 30, 2]",5.416666666666667
3,[ 9.66906475 23.71223022  3.68345324 26.9352518 ],81372,21,"[21, 14, 8]",4.916666666666667
4,[30.61870504 10.47482014 19.22302158  3.68345324],98414,8,"[29, 4, 23]",5.75
5,[23.82733813 17.38129496 11.39568345 11.39568345],98019,6,"[33, 19, 6]",5.583333333333333
6,[25.09352518 20.14388489 14.15827338  4.60431655],91903,10,"[17, 25, 12]",5.666666666666667
7,[22.44604317 20.94964029 17.84172662  2.76258993],109980,6,"[30, 8, 20]",5.5
8,[21.98561151  0.46043165 34.18705036  7.36690647],93656,16,"[29, 1, 18]",5.5
9,[29.23741007  1.84172662 29.23741007  3.68345324],92783,8,"[26, 4, 26]",5.5
10,[28.31654676  6.44604317 18.76258993 10.47482014],96971,4,"[24, 14, 22]",5.083333333333333
11,[29.23741007  5.52517986 16.92086331 12.31654676],106022,8,"[26, 12, 18]",5.666666666666667
12,[10.9352518   3.22302158 42.01438849  7.82733813],107183,17,"[5, 7, 35]",5.333333333333333
13,[27.85611511 20.60431655  1.84172662 13.69784173],89610,11,"[23, 26, 4]",5.166666666666667
14,[18.30215827  0.46043165  1.38129496 43.85611511],104660,39,"[21, 1, 3]",5.916666666666667
15,[26.47482014 28.31654676  0.92086331  8.28776978],112718,18,"[20, 24, 2]",5.333333333333333
16,[ 2.76258993  5.98561151 42.01438849 13.23741007],72511,10,"[6, 13, 35]",5.75
17,[16.46043165  6.44604317 40.17266187  0.92086331],94450,2,"[17, 14, 31]",5.166666666666667
18,[23.25179856 29.23741007  3.68345324  7.82733813],99981,17,"[13, 26, 8]",5.333333333333333
19,[ 0.         39.25179856 11.85611511 12.89208633],82623,28,"[0, 29, 7]",5.583333333333333
20,[35.56834532 20.60431655  2.76258993  5.0647482 ],116223,11,"[21, 26, 6]",5.833333333333333
21,[27.39568345  2.30215827  2.30215827 32.        ],130480,32,"[22, 5, 5]",6.083333333333333
22,[20.48920863 15.53956835 16.92086331 11.05035971],108929,24,"[7, 15, 18]",5.333333333333333
23,[18.76258993  4.60431655  5.98561151 34.64748201],81944,19,"[22, 10, 13]",4.916666666666667
24,[32.          2.30215827  1.84172662 27.85611511],129270,23,"[32, 5, 4]",5.666666666666667
25,[ 7.82733813 11.85611511 25.09352518 19.22302158],102409,23,"[17, 7, 17]",5.333333333333333
26,[20.60431655  1.84172662 29.23741007 12.31654676],80164,8,"[26, 4, 26]",5.166666666666667
27,[29.23741007 16.92086331  5.98561151 11.85611511],84002,7,"[26, 18, 13]",5.333333333333333
28,[27.85611511  4.14388489 18.76258993 13.23741007],116615,10,"[23, 9, 22]",5.583333333333333
29,[14.61870504  3.22302158 27.85611511 18.30215827],54683,21,"[13, 7, 23]",5.166666666666667
