,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[18.76258993 27.85611511 15.53956835  1.84172662],115207,4,"[22, 23, 15]",4.166666666666667
1,[ 9.20863309 26.9352518   0.46043165 27.39568345],79336,22,"[20, 21, 1]",4.25
2,[ 1.84172662 25.55395683 26.9352518   9.66906475],96737,21,"[4, 18, 21]",3.9166666666666665
3,[26.47482014 20.14388489 13.69784173  3.68345324],98352,8,"[20, 25, 11]",4.166666666666667
4,[13.69784173 21.0647482   2.30215827 26.9352518 ],85697,21,"[11, 27, 5]",4.25
5,[ 4.14388489 40.17266187 18.30215827  1.38129496],95717,3,"[9, 31, 21]",3.4166666666666665
6,[20.94964029 21.52517986 16.          5.52517986],108263,12,"[8, 28, 16]",4.166666666666667
7,[32.92086331 15.07913669 14.15827338  1.84172662],99783,4,"[34, 14, 12]",4.333333333333333
8,[ 5.52517986 25.55395683 18.76258993 14.15827338],132154,12,"[12, 18, 22]",3.9166666666666665
9,[ 2.30215827 28.31654676 29.23741007  4.14388489],98964,9,"[5, 24, 26]",3.4166666666666665
10,[ 4.60431655  4.14388489 29.23741007 26.01438849],94371,19,"[10, 9, 26]",3.25
11,[26.9352518   4.60431655 31.07913669  1.38129496],101609,3,"[21, 10, 30]",4.083333333333333
12,[ 0.92086331  4.14388489 56.63309353  2.30215827],113073,5,"[2, 9, 48]",3.9166666666666665
13,[ 2.76258993 20.14388489 38.79136691  2.30215827],95056,5,"[6, 25, 28]",3.4166666666666665
14,[16.46043165 28.77697842  2.30215827 16.46043165],101409,17,"[17, 25, 5]",4.416666666666667
15,[16.46043165 27.85611511 14.15827338  5.52517986],73680,12,"[17, 23, 12]",3.4166666666666665
16,[12.77697842  6.90647482 29.69784173 14.61870504],115905,13,"[9, 15, 27]",4.0
17,[ 2.30215827 28.77697842 15.53956835 17.38129496],103073,19,"[5, 25, 15]",3.9166666666666665
18,[24.17266187 21.98561151 13.23741007  4.60431655],97729,10,"[15, 29, 10]",4.0
19,[ 3.68345324 26.47482014 29.23741007  4.60431655],83877,10,"[8, 20, 26]",3.6666666666666665
20,[11.39568345 16.46043165 30.61870504  5.52517986],116061,12,"[6, 17, 29]",3.9166666666666665
21,[15.53956835 31.53956835  3.68345324 13.23741007],73300,10,"[15, 31, 8]",4.083333333333333
22,[16.46043165  3.22302158 32.         12.31654676],115191,8,"[17, 7, 32]",4.166666666666667
23,[17.84172662 28.31654676  8.74820144  9.09352518],93252,1,"[20, 24, 19]",3.5
24,[15.07913669 21.52517986 15.53956835 11.85611511],88027,7,"[14, 28, 15]",4.0
25,[28.77697842 11.85611511  2.76258993 20.60431655],103742,26,"[25, 7, 6]",4.0
26,[20.02877698  9.20863309 33.38129496  1.38129496],91374,3,"[6, 20, 35]",3.8333333333333335
27,[ 4.14388489 43.39568345  0.92086331 15.53956835],70621,15,"[9, 38, 2]",3.6666666666666665
28,[25.55395683 24.63309353  9.66906475  4.14388489],103299,9,"[18, 16, 21]",3.9166666666666665
29,[26.47482014  5.52517986 30.15827338  1.84172662],91732,4,"[20, 12, 28]",3.5833333333333335
