,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[18.76258993 27.85611511 15.53956835  1.84172662],125316,4,"[22, 23, 15]",4.25
1,[ 9.20863309 26.9352518   0.46043165 27.39568345],94785,22,"[20, 21, 1]",4.416666666666667
2,[11.39568345 26.01438849 14.61870504 11.97122302],100020,26,"[6, 19, 13]",4.416666666666667
3,[13.69784173 16.46043165 25.09352518  8.74820144],89997,19,"[11, 17, 17]",3.9166666666666665
4,[17.38129496 14.15827338 29.23741007  3.22302158],114647,7,"[19, 12, 26]",4.25
5,[13.23741007 35.22302158  4.14388489 11.39568345],100860,6,"[10, 39, 9]",3.9166666666666665
6,[20.94964029 21.52517986 16.          5.52517986],120854,12,"[8, 28, 16]",4.25
7,[32.92086331 15.07913669 14.15827338  1.84172662],97895,4,"[34, 14, 12]",4.333333333333333
8,[15.07913669  7.36690647 32.46043165  9.09352518],110767,1,"[14, 16, 33]",4.083333333333333
9,[ 1.38129496 41.09352518 17.84172662  3.68345324],87936,8,"[3, 33, 20]",3.4166666666666665
10,[20.60431655  9.66906475 23.71223022 10.01438849],87850,3,"[26, 21, 14]",3.5833333333333335
11,[26.9352518   4.60431655 31.07913669  1.38129496],99550,3,"[21, 10, 30]",4.083333333333333
12,[ 6.90647482 23.71223022 29.69784173  3.68345324],107058,8,"[15, 14, 27]",3.8333333333333335
13,[12.31654676 13.23741007 22.90647482 15.53956835],127514,15,"[8, 10, 31]",3.9166666666666665
14,[16.46043165 28.77697842  2.30215827 16.46043165],80476,17,"[17, 25, 5]",4.416666666666667
15,[14.15827338 36.02877698  5.0647482   8.74820144],89317,19,"[12, 22, 11]",3.5833333333333335
16,[12.77697842  6.90647482 29.69784173 14.61870504],108762,13,"[9, 15, 27]",4.0
17,[ 0.92086331 27.85611511 22.90647482 12.31654676],78808,8,"[2, 23, 31]",3.5833333333333335
18,[12.77697842 22.44604317 16.46043165 12.31654676],75287,8,"[9, 30, 17]",3.8333333333333335
19,[ 2.76258993 42.9352518  15.53956835  2.76258993],118507,6,"[6, 37, 15]",4.083333333333333
20,[15.07913669 22.90647482 25.09352518  0.92086331],129795,2,"[14, 31, 17]",4.083333333333333
21,[15.53956835 31.53956835  3.68345324 13.23741007],70947,10,"[15, 31, 8]",4.083333333333333
22,[18.76258993 14.61870504 16.46043165 14.15827338],89191,12,"[22, 13, 17]",4.083333333333333
23,[12.31654676 25.09352518 23.82733813  2.76258993],92637,6,"[8, 17, 33]",3.6666666666666665
24,[51.10791367  8.74820144  1.38129496  2.76258993],132412,6,"[36, 19, 3]",4.083333333333333
25,[28.77697842 11.85611511  2.76258993 20.60431655],120292,26,"[25, 7, 6]",4.166666666666667
26,[24.63309353 29.23741007  8.74820144  1.38129496],102361,3,"[16, 26, 19]",3.8333333333333335
27,[31.53956835  6.44604317 11.85611511 14.15827338],104515,12,"[31, 14, 7]",4.25
28,[36.94964029 21.52517986  3.68345324  1.84172662],93062,4,"[24, 28, 8]",4.083333333333333
29,[23.25179856 20.60431655 16.          4.14388489],74603,9,"[13, 26, 16]",3.75
