,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[ 1.84172662 18.30215827 28.31654676 15.53956835],83739,15,"[4, 21, 24]",3.5833333333333335
1,[11.51079137 24.17266187 10.01438849 18.30215827],88532,21,"[25, 15, 3]",4.166666666666667
2,[ 7.36690647 26.01438849 12.77697842 17.84172662],74435,20,"[16, 19, 9]",4.0
3,[ 3.22302158 17.84172662 37.41007194  5.52517986],80071,12,"[7, 20, 25]",3.25
4,[14.15827338 21.0647482  10.47482014 18.30215827],97774,21,"[12, 27, 4]",4.25
5,[13.23741007 35.22302158  4.14388489 11.39568345],103023,6,"[10, 39, 9]",3.75
6,[ 2.76258993 33.84172662 22.79136691  4.60431655],80339,10,"[6, 36, 12]",3.25
7,[29.69784173  5.52517986 13.69784173 15.07913669],103505,14,"[27, 12, 11]",3.75
8,[23.36690647 13.23741007 26.47482014  0.92086331],113875,2,"[32, 10, 20]",3.75
9,[ 5.0647482   1.38129496 30.15827338 27.39568345],105037,22,"[11, 3, 28]",4.0
10,[ 4.14388489 13.69784173 26.47482014 19.68345324],89435,24,"[9, 11, 20]",2.9166666666666665
11,[16.92086331 25.09352518 14.61870504  7.36690647],88319,16,"[18, 17, 13]",3.3333333333333335
12,[ 5.52517986  4.14388489 26.47482014 27.85611511],69419,23,"[12, 9, 20]",3.4166666666666665
13,[12.31654676 41.09352518  6.44604317  4.14388489],74368,9,"[8, 33, 14]",2.9166666666666665
14,[15.53956835 13.69784173 18.76258993 16.        ],68763,16,"[15, 11, 22]",3.75
15,[15.53956835 28.31654676  5.52517986 14.61870504],87447,13,"[15, 24, 12]",3.3333333333333335
16,[ 1.38129496 28.31654676 32.          2.30215827],88657,5,"[3, 24, 32]",4.083333333333333
17,[ 1.38129496 26.47482014 18.30215827 17.84172662],98247,20,"[3, 20, 21]",3.6666666666666665
18,[14.15827338 19.22302158 25.09352518  5.52517986],80059,12,"[12, 23, 17]",3.4166666666666665
19,[16.         12.77697842 14.61870504 20.60431655],81379,26,"[16, 9, 13]",3.3333333333333335
20,[21.41007194  6.90647482 20.14388489 15.53956835],92280,15,"[9, 15, 25]",3.5833333333333335
21,[32.92086331 14.61870504 14.61870504  1.84172662],97989,4,"[34, 13, 13]",4.0
22,[ 5.0647482  42.47482014  3.68345324 12.77697842],86834,9,"[11, 36, 8]",3.5833333333333335
23,[20.60431655 16.92086331 12.31654676 14.15827338],91033,12,"[26, 18, 8]",3.3333333333333335
24,[22.44604317 23.71223022  5.52517986 12.31654676],99323,8,"[30, 14, 12]",3.8333333333333335
25,[12.31654676  1.84172662 43.85611511  5.98561151],117653,13,"[8, 4, 39]",3.5833333333333335
26,[38.33093525 17.84172662  3.68345324  4.14388489],94124,9,"[27, 20, 8]",4.25
27,[ 3.68345324 43.39568345  9.55395683  7.36690647],85906,16,"[8, 38, 2]",3.5833333333333335
28,[ 2.30215827 18.30215827  5.52517986 37.8705036 ],118066,26,"[5, 21, 12]",3.9166666666666665
29,[ 9.55395683 24.28776978 25.55395683  4.60431655],95806,10,"[2, 34, 18]",3.75
