,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[ 1.84172662 18.30215827 28.31654676 15.53956835],83739,15,"[4, 21, 24]",3.5833333333333335
1,[22.79136691 15.53956835  6.44604317 19.22302158],81067,23,"[12, 15, 14]",4.0
2,[18.30215827 27.85611511  2.76258993 15.07913669],116281,14,"[21, 23, 6]",3.75
3,[19.68345324 11.85611511 19.22302158 13.23741007],93150,10,"[24, 7, 23]",3.6666666666666665
4,[13.23741007 27.39568345  3.22302158 20.14388489],93738,25,"[10, 22, 7]",4.083333333333333
5,[13.23741007 35.22302158  4.14388489 11.39568345],103023,6,"[10, 39, 9]",3.75
6,[ 2.76258993 33.84172662 22.79136691  4.60431655],81772,10,"[6, 36, 12]",3.25
7,[32.46043165  3.22302158 16.         12.31654676],84236,8,"[33, 7, 16]",3.75
8,[29.23741007 17.84172662  3.68345324 13.23741007],69427,10,"[26, 20, 8]",3.5
9,[18.30215827  0.92086331 30.61870504 14.15827338],99068,12,"[21, 2, 29]",3.8333333333333335
10,[ 4.14388489 13.69784173 26.47482014 19.68345324],99023,24,"[9, 11, 20]",2.9166666666666665
11,[29.23741007 15.53956835 16.          3.22302158],117484,7,"[26, 15, 16]",3.1666666666666665
12,[ 2.76258993 29.69784173  5.0647482  26.47482014],99851,20,"[6, 27, 11]",3.5833333333333335
13,[ 5.0647482  22.90647482 10.47482014 25.55395683],89506,18,"[11, 31, 4]",3.5833333333333335
14,[12.31654676 15.53956835 24.28776978 11.85611511],90751,7,"[8, 15, 34]",3.8333333333333335
15,[16.         38.79136691  4.60431655  4.60431655],85677,10,"[16, 28, 10]",3.25
16,[ 1.38129496 28.31654676 32.          2.30215827],88657,5,"[3, 24, 32]",4.083333333333333
17,[ 5.98561151 26.01438849 12.77697842 19.22302158],119076,23,"[13, 19, 9]",3.5833333333333335
18,[26.01438849  4.14388489 21.52517986 12.31654676],93378,8,"[19, 9, 28]",3.6666666666666665
19,[ 4.14388489 17.84172662  2.76258993 39.25179856],111637,29,"[9, 20, 6]",3.5
20,[25.55395683 17.84172662 19.22302158  1.38129496],98760,3,"[18, 20, 23]",3.5833333333333335
21,[40.63309353 15.53956835  6.44604317  1.38129496],66490,3,"[32, 15, 14]",3.6666666666666665
22,[ 1.84172662 16.         21.0647482  25.09352518],82683,17,"[4, 16, 27]",3.3333333333333335
23,[16.         13.23741007 16.92086331 17.84172662],95220,20,"[16, 10, 18]",3.0833333333333335
24,[22.44604317 23.71223022  5.52517986 12.31654676],103959,8,"[30, 14, 12]",3.8333333333333335
25,[ 4.14388489 22.79136691 32.          5.0647482 ],84223,11,"[9, 12, 32]",3.5
26,[19.68345324 26.01438849 14.61870504  3.68345324],79692,8,"[24, 19, 13]",3.5
27,[ 3.68345324 43.39568345  9.55395683  7.36690647],86774,16,"[8, 38, 2]",3.5833333333333335
28,[15.07913669  3.68345324 18.30215827 26.9352518 ],124264,21,"[14, 8, 21]",3.8333333333333335
29,[ 9.55395683 24.28776978 25.55395683  4.60431655],95806,10,"[2, 34, 18]",3.75
