,game_utilities,total_nodes,final_hands,avg_depth,players_names
25,[38.79136691  3.68345324  2.30215827 19.22302158],"[207529, 238227, 12, 194923]","[28, 8, 5, 23]","[3.5833333333333335, 3.6666666666666665, 0.0, 5.0]","['optimal_player', 'suboptimal_player', 'random_player', 'bounded_paranoid_player']"
26,[24.17266187  4.14388489 28.77697842  6.90647482],"[133, 219613, 265319, 275106]","[15, 9, 25, 15]","[0.0, 3.9166666666666665, 5.166666666666667, 5.0]","['weak_player', 'optimal_player', 'bounded_paranoid_player', 'paranoid_player']"
27,[13.23741007  4.60431655  1.84172662 44.31654676],"[104, 144636, 12, 228967]","[10, 10, 4, 40]","[0.0, 3.8333333333333335, 0.0, 5.5]","['weak_player', 'optimal_player', 'random_player', 'paranoid_player']"
28,[ 0.46043165 20.60431655 37.8705036   5.0647482 ],"[12, 260146, 180969, 222927]","[1, 26, 26, 11]","[0.0, 5.083333333333333, 3.6666666666666665, 5.25]","['random_player', 'paranoid_player', 'optimal_player', 'bounded_paranoid_player']"
29,[ 5.98561151  7.82733813 46.04316547  4.14388489],"[192810, 256559, 192875, 12]","[13, 17, 25, 9]","[3.5833333333333335, 5.333333333333333, 3.5833333333333335, 0.0]","['suboptimal_player', 'bounded_paranoid_player', 'optimal_player', 'random_player']"
30,[ 7.36690647 26.47482014  5.98561151 24.17266187],"[12, 247448, 112, 254158]","[16, 20, 13, 15]","[0.0, 5.5, 0.0, 4.333333333333333]","['random_player', 'paranoid_player', 'weak_player', 'suboptimal_player']"
31,[12.77697842 23.36690647 10.01438849 17.84172662],"[110, 136186, 12, 204374]","[9, 32, 3, 20]","[0.0, 3.6666666666666665, 0.0, 5.25]","['weak_player', 'optimal_player', 'random_player', 'paranoid_player']"
32,[ 0.92086331 12.77697842 19.68345324 30.61870504],"[12, 96, 215952, 262553]","[2, 9, 24, 29]","[0.0, 0.0, 3.9166666666666665, 5.583333333333333]","['random_player', 'weak_player', 'suboptimal_player', 'paranoid_player']"
33,[32.46043165  7.36690647 11.85611511 12.31654676],"[222658, 86, 278225, 202800]","[33, 16, 7, 8]","[4.0, 0.0, 4.083333333333333, 5.333333333333333]","['suboptimal_player', 'weak_player', 'optimal_player', 'paranoid_player']"
34,[20.48920863 16.92086331 17.38129496  9.20863309],"[229341, 224221, 229397, 274489]","[7, 18, 19, 20]","[5.75, 3.8333333333333335, 5.583333333333333, 4.5]","['bounded_paranoid_player', 'optimal_player', 'paranoid_player', 'suboptimal_player']"
35,[31.07913669  5.98561151 25.09352518  1.84172662],"[219498, 160181, 118, 12]","[30, 13, 17, 4]","[3.5, 3.5, 0.0, 0.0]","['optimal_player', 'suboptimal_player', 'weak_player', 'random_player']"
36,[27.85611511 12.77697842 10.47482014 12.89208633],"[308844, 119751, 76, 234464]","[23, 9, 4, 28]","[6.083333333333333, 3.6666666666666665, 0.0, 4.333333333333333]","['bounded_paranoid_player', 'optimal_player', 'weak_player', 'suboptimal_player']"
37,[18.76258993 11.85611511 10.1294964  23.25179856],"[221546, 12, 271917, 103]","[22, 7, 22, 13]","[3.8333333333333335, 0.0, 5.583333333333333, 0.0]","['suboptimal_player', 'random_player', 'bounded_paranoid_player', 'weak_player']"
38,[ 5.0647482   4.60431655 26.01438849 28.31654676],"[241806, 232292, 117, 230156]","[11, 10, 19, 24]","[4.25, 5.75, 0.0, 5.916666666666667]","['suboptimal_player', 'paranoid_player', 'weak_player', 'bounded_paranoid_player']"
39,[14.61870504 17.38129496  1.38129496 30.61870504],"[186109, 109, 12, 234907]","[13, 19, 3, 29]","[3.9166666666666665, 0.0, 0.0, 5.0]","['suboptimal_player', 'weak_player', 'random_player', 'paranoid_player']"
40,[16.          0.46043165 36.14388489 11.39568345],"[205903, 12, 286874, 112]","[16, 1, 41, 6]","[5.666666666666667, 0.0, 5.5, 0.0]","['bounded_paranoid_player', 'random_player', 'paranoid_player', 'weak_player']"
41,[15.07913669  5.98561151 41.09352518  1.84172662],"[224771, 174749, 152357, 278294]","[14, 13, 33, 4]","[5.5, 3.5833333333333335, 3.5, 5.083333333333333]","['bounded_paranoid_player', 'optimal_player', 'suboptimal_player', 'paranoid_player']"
42,[33.84172662  0.46043165 26.01438849  3.68345324],"[152398, 86, 152235, 12]","[36, 1, 19, 8]","[3.75, 0.0, 3.6666666666666665, 0.0]","['optimal_player', 'weak_player', 'suboptimal_player', 'random_player']"
43,[ 1.84172662 16.46043165  3.22302158 42.47482014],"[12, 263386, 253736, 181255]","[4, 17, 7, 36]","[0.0, 3.8333333333333335, 3.8333333333333335, 5.0]","['random_player', 'optimal_player', 'suboptimal_player', 'paranoid_player']"
44,[37.8705036   1.84172662  6.44604317 17.84172662],"[239605, 76, 192949, 254325]","[26, 4, 14, 20]","[4.25, 0.0, 4.0, 5.583333333333333]","['optimal_player', 'weak_player', 'suboptimal_player', 'paranoid_player']"
45,[ 3.22302158 31.53956835  0.92086331 28.31654676],"[12, 254770, 187990, 136]","[7, 31, 2, 24]","[0.0, 5.25, 3.5, 0.0]","['random_player', 'bounded_paranoid_player', 'suboptimal_player', 'weak_player']"
46,[ 6.44604317  3.22302158 26.9352518  27.39568345],"[232095, 12, 104, 278382]","[14, 7, 21, 22]","[4.0, 0.0, 0.0, 5.583333333333333]","['suboptimal_player', 'random_player', 'weak_player', 'bounded_paranoid_player']"
47,[16.46043165 19.22302158 25.09352518  3.22302158],"[289520, 225928, 199115, 12]","[17, 23, 17, 7]","[4.333333333333333, 6.083333333333333, 4.166666666666667, 0.0]","['suboptimal_player', 'bounded_paranoid_player', 'optimal_player', 'random_player']"
48,[23.71223022 33.84172662  1.84172662  4.60431655],"[263188, 257937, 12, 188163]","[14, 36, 4, 10]","[5.5, 5.416666666666667, 0.0, 3.6666666666666665]","['bounded_paranoid_player', 'paranoid_player', 'random_player', 'optimal_player']"
49,[ 2.30215827  2.76258993 25.09352518 33.84172662],"[12, 251143, 306042, 246816]","[5, 6, 17, 36]","[0.0, 4.083333333333333, 5.916666666666667, 5.416666666666667]","['random_player', 'optimal_player', 'bounded_paranoid_player', 'paranoid_player']"
50,[22.33093525 15.53956835  1.38129496 24.74820144],"[229056, 212744, 80, 259688]","[11, 15, 3, 35]","[4.083333333333333, 4.083333333333333, 0.0, 5.416666666666667]","['optimal_player', 'suboptimal_player', 'weak_player', 'bounded_paranoid_player']"
51,[ 5.0647482  18.30215827 12.31654676 28.31654676],"[230319, 295696, 285194, 269258]","[11, 21, 8, 24]","[3.8333333333333335, 5.083333333333333, 5.0, 3.5833333333333335]","['suboptimal_player', 'bounded_paranoid_player', 'paranoid_player', 'optimal_player']"
52,[28.31654676 15.07913669  8.74820144 11.85611511],"[242686, 120, 198653, 12]","[24, 14, 19, 7]","[5.666666666666667, 0.0, 3.6666666666666665, 0.0]","['bounded_paranoid_player', 'weak_player', 'optimal_player', 'random_player']"
53,[37.8705036   4.14388489  2.76258993 19.22302158],"[127, 205896, 212512, 304939]","[26, 9, 6, 23]","[0.0, 3.9166666666666665, 3.9166666666666665, 5.333333333333333]","['weak_player', 'optimal_player', 'suboptimal_player', 'bounded_paranoid_player']"
54,[31.53956835 24.63309353  1.38129496  6.44604317],"[181640, 213894, 176694, 211122]","[31, 16, 3, 14]","[4.916666666666667, 3.5833333333333335, 3.4166666666666665, 4.666666666666667]","['bounded_paranoid_player', 'suboptimal_player', 'optimal_player', 'paranoid_player']"
55,[ 5.52517986 52.02877698  5.98561151  0.46043165],"[190062, 236356, 12, 93]","[12, 38, 13, 1]","[5.916666666666667, 5.833333333333333, 0.0, 0.0]","['bounded_paranoid_player', 'paranoid_player', 'random_player', 'weak_player']"
56,[ 0.92086331 13.23741007 16.92086331 32.92086331],"[12, 214013, 200558, 217654]","[2, 10, 18, 34]","[0.0, 5.25, 3.6666666666666665, 5.25]","['random_player', 'bounded_paranoid_player', 'suboptimal_player', 'paranoid_player']"
57,[18.30215827 16.         27.39568345  2.30215827],"[167210, 232448, 135, 12]","[21, 16, 22, 5]","[3.5833333333333335, 3.75, 0.0, 0.0]","['suboptimal_player', 'optimal_player', 'weak_player', 'random_player']"
58,[31.53956835  3.68345324  2.30215827 26.47482014],"[138, 200813, 12, 232454]","[31, 8, 5, 20]","[0.0, 4.333333333333333, 0.0, 5.333333333333333]","['weak_player', 'optimal_player', 'random_player', 'paranoid_player']"
59,[ 4.14388489 26.01438849 30.15827338  3.68345324],"[178291, 113, 214333, 171785]","[9, 19, 28, 8]","[3.8333333333333335, 0.0, 5.416666666666667, 3.5]","['optimal_player', 'weak_player', 'bounded_paranoid_player', 'suboptimal_player']"
60,[ 3.22302158 15.07913669 45.23741007  0.46043165],"[237518, 117, 179280, 12]","[7, 14, 42, 1]","[4.0, 0.0, 3.75, 0.0]","['optimal_player', 'weak_player', 'suboptimal_player', 'random_player']"
61,[15.07913669  4.60431655 28.31654676 16.        ],"[298116, 260671, 250219, 107]","[14, 10, 24, 16]","[3.75, 5.083333333333333, 3.4166666666666665, 0.0]","['suboptimal_player', 'bounded_paranoid_player', 'optimal_player', 'weak_player']"
62,[25.09352518 10.47482014  4.60431655 23.82733813],"[197441, 85, 136086, 188005]","[17, 4, 10, 33]","[4.0, 0.0, 3.75, 5.416666666666667]","['suboptimal_player', 'weak_player', 'optimal_player', 'bounded_paranoid_player']"
63,[ 2.76258993 12.31654676 32.46043165 16.46043165],"[12, 117, 269140, 228890]","[6, 8, 33, 17]","[0.0, 0.0, 5.5, 4.25]","['random_player', 'weak_player', 'paranoid_player', 'suboptimal_player']"
64,[ 0.92086331 10.47482014 35.68345324 16.92086331],"[12, 294076, 192827, 264548]","[2, 4, 40, 18]","[0.0, 5.666666666666667, 3.75, 5.833333333333333]","['random_player', 'paranoid_player', 'suboptimal_player', 'bounded_paranoid_player']"
65,[ 0.46043165  0.         31.53956835 32.        ],"[188952, 12, 245783, 225852]","[1, 0, 31, 32]","[4.083333333333333, 0.0, 5.416666666666667, 5.5]","['suboptimal_player', 'random_player', 'paranoid_player', 'bounded_paranoid_player']"
66,[ 4.14388489 25.09352518  6.90647482 27.85611511],"[275363, 239502, 218631, 76]","[9, 17, 15, 23]","[5.75, 4.083333333333333, 5.916666666666667, 0.0]","['paranoid_player', 'optimal_player', 'bounded_paranoid_player', 'weak_player']"
67,[12.31654676  2.76258993 13.23741007 35.68345324],"[107, 231372, 118378, 240256]","[8, 6, 10, 40]","[0.0, 3.8333333333333335, 3.4166666666666665, 5.25]","['weak_player', 'optimal_player', 'suboptimal_player', 'paranoid_player']"
68,[13.23741007 17.38129496 13.23741007 20.14388489],"[300213, 266360, 244958, 191488]","[10, 19, 10, 25]","[4.083333333333333, 5.25, 3.9166666666666665, 5.0]","['suboptimal_player', 'paranoid_player', 'optimal_player', 'bounded_paranoid_player']"
69,[21.98561151 12.77697842 15.07913669 14.15827338],"[104, 12, 188994, 240850]","[29, 9, 14, 12]","[0.0, 0.0, 5.333333333333333, 4.166666666666667]","['weak_player', 'random_player', 'paranoid_player', 'optimal_player']"
70,[ 2.30215827  3.68345324 18.76258993 39.25179856],"[12, 132, 199513, 217458]","[5, 8, 22, 29]","[0.0, 0.0, 5.0, 3.5]","['random_player', 'weak_player', 'paranoid_player', 'optimal_player']"
71,[21.0647482   2.76258993 29.23741007 10.9352518 ],"[207172, 269832, 185839, 12]","[27, 6, 26, 5]","[4.083333333333333, 5.916666666666667, 4.166666666666667, 0.0]","['suboptimal_player', 'paranoid_player', 'optimal_player', 'random_player']"
72,[13.23741007 30.61870504 16.92086331  3.22302158],"[132, 241305, 301779, 12]","[10, 29, 18, 7]","[0.0, 3.5833333333333335, 5.0, 0.0]","['weak_player', 'suboptimal_player', 'paranoid_player', 'random_player']"
