,game_utilities,total_nodes,final_hands,avg_depth,players_names
25,[36.94964029  8.28776978  2.30215827 16.46043165],"[87465, 110455, 12, 64497]","[24, 18, 5, 17]","[3.0, 3.25, 0.0, 5.083333333333333]","['optimal_player', 'suboptimal_player', 'random_player', 'bounded_paranoid_player']"
26,[20.94964029  3.68345324 31.53956835  7.82733813],"[120, 112178, 69672, 69488]","[8, 8, 31, 17]","[0.0, 3.6666666666666665, 5.583333333333333, 5.083333333333333]","['weak_player', 'optimal_player', 'bounded_paranoid_player', 'paranoid_player']"
27,[14.15827338  4.14388489 12.77697842 32.92086331],"[135, 99245, 12, 79910]","[12, 9, 9, 34]","[0.0, 3.5, 0.0, 5.083333333333333]","['weak_player', 'optimal_player', 'random_player', 'paranoid_player']"
28,[ 4.14388489  7.36690647  1.38129496 51.10791367],"[12, 70269, 91020, 79315]","[9, 16, 3, 36]","[0.0, 5.666666666666667, 3.5, 5.583333333333333]","['random_player', 'paranoid_player', 'optimal_player', 'bounded_paranoid_player']"
29,[28.77697842  8.74820144 24.17266187  2.30215827],"[102541, 111739, 88070, 12]","[25, 19, 15, 5]","[3.3333333333333335, 6.416666666666667, 3.5, 0.0]","['suboptimal_player', 'bounded_paranoid_player', 'optimal_player', 'random_player']"
30,[ 0.46043165 30.15827338  3.22302158 30.15827338],"[12, 88098, 108, 114837]","[1, 28, 7, 28]","[0.0, 5.416666666666667, 0.0, 3.6666666666666665]","['random_player', 'paranoid_player', 'weak_player', 'suboptimal_player']"
31,[26.01438849 22.44604317  1.38129496 14.15827338],"[129, 80793, 12, 67805]","[19, 30, 3, 12]","[0.0, 3.5, 0.0, 5.0]","['weak_player', 'optimal_player', 'random_player', 'paranoid_player']"
32,[ 2.76258993  0.92086331 20.60431655 39.71223022],"[12, 97, 95786, 79335]","[6, 2, 26, 30]","[0.0, 0.0, 3.4166666666666665, 5.333333333333333]","['random_player', 'weak_player', 'suboptimal_player', 'paranoid_player']"
33,[ 5.52517986 12.31654676 16.46043165 29.69784173],"[127765, 106, 87415, 67397]","[12, 8, 17, 27]","[3.4166666666666665, 0.0, 3.25, 5.083333333333333]","['suboptimal_player', 'weak_player', 'optimal_player', 'paranoid_player']"
34,[12.31654676 30.15827338  5.52517986 16.        ],"[86047, 128432, 64465, 67067]","[8, 28, 12, 16]","[5.5, 3.3333333333333335, 5.333333333333333, 3.4166666666666665]","['bounded_paranoid_player', 'optimal_player', 'paranoid_player', 'suboptimal_player']"
35,[14.61870504 19.68345324 23.71223022  5.98561151],"[117215, 111498, 108, 12]","[13, 24, 14, 13]","[3.3333333333333335, 3.5833333333333335, 0.0, 0.0]","['optimal_player', 'suboptimal_player', 'weak_player', 'random_player']"
36,[20.60431655 15.53956835  4.60431655 23.25179856],"[102776, 84383, 104, 93225]","[26, 15, 10, 13]","[6.25, 3.6666666666666665, 0.0, 4.083333333333333]","['bounded_paranoid_player', 'optimal_player', 'weak_player', 'suboptimal_player']"
37,[ 9.66906475  9.09352518 20.14388489 25.09352518],"[89515, 12, 91278, 96]","[21, 1, 25, 17]","[3.6666666666666665, 0.0, 5.833333333333333, 0.0]","['suboptimal_player', 'random_player', 'bounded_paranoid_player', 'weak_player']"
38,[27.85611511 13.69784173  1.84172662 20.60431655],"[89032, 82422, 98, 83160]","[23, 11, 4, 26]","[3.0833333333333335, 5.416666666666667, 0.0, 5.416666666666667]","['suboptimal_player', 'paranoid_player', 'weak_player', 'bounded_paranoid_player']"
39,[29.69784173 20.60431655  0.92086331 12.77697842],"[111292, 121, 12, 85285]","[27, 26, 2, 9]","[4.0, 0.0, 0.0, 5.583333333333333]","['suboptimal_player', 'weak_player', 'random_player', 'paranoid_player']"
40,[14.61870504  1.38129496 24.74820144 23.25179856],"[100733, 12, 97165, 99]","[13, 3, 35, 13]","[6.333333333333333, 0.0, 5.666666666666667, 0.0]","['bounded_paranoid_player', 'random_player', 'paranoid_player', 'weak_player']"
41,[31.07913669  4.60431655 11.85611511 16.46043165],"[91923, 70938, 93928, 75104]","[30, 10, 7, 17]","[6.333333333333333, 3.6666666666666665, 3.75, 5.833333333333333]","['bounded_paranoid_player', 'optimal_player', 'suboptimal_player', 'paranoid_player']"
